time,ENCODER  A:1,ENCODER  B:1
0,TRUE,FALSE
0.000081,TRUE,FALSE
0.000161,TRUE,FALSE
0.009181,TRUE,FALSE
0.018441,TRUE,FALSE
0.027701,TRUE,FALSE
0.037021,TRUE,FALSE
0.046401,TRUE,FALSE
0.055661,TRUE,FALSE
0.064861,TRUE,FALSE
0.074181,TRUE,FALSE
0.083441,TRUE,FALSE
0.092701,TRUE,FALSE
0.102021,TRUE,FALSE
0.111401,TRUE,FALSE
0.120661,TRUE,FALSE
0.129921,TRUE,FALSE
0.139241,TRUE,FALSE
0.148621,TRUE,FALSE
0.157881,TRUE,FALSE
0.167141,TRUE,FALSE
0.176461,TRUE,FALSE
0.185661,TRUE,FALSE
0.194921,TRUE,FALSE
0.204241,TRUE,FALSE
0.213621,TRUE,FALSE
0.222881,TRUE,FALSE
0.232141,TRUE,FALSE
0.241461,TRUE,FALSE
0.250721,TRUE,FALSE
0.260041,TRUE,FALSE
0.269421,TRUE,FALSE
0.278681,TRUE,FALSE
0.287941,TRUE,FALSE
0.297201,TRUE,FALSE
0.306581,TRUE,FALSE
0.315841,TRUE,FALSE
0.325161,TRUE,FALSE
0.334481,TRUE,FALSE
0.343741,TRUE,FALSE
0.353061,TRUE,FALSE
0.362381,TRUE,FALSE
0.371641,TRUE,FALSE
0.380901,TRUE,FALSE
0.390161,TRUE,FALSE
0.399481,TRUE,FALSE
0.408741,TRUE,FALSE
0.418061,TRUE,FALSE
0.427381,TRUE,FALSE
0.436701,TRUE,FALSE
0.446021,TRUE,FALSE
0.455401,TRUE,FALSE
0.464661,TRUE,FALSE
0.473861,TRUE,FALSE
0.483181,TRUE,FALSE
0.492561,TRUE,FALSE
0.501821,TRUE,FALSE
0.511141,TRUE,FALSE
0.520461,TRUE,FALSE
0.529661,TRUE,FALSE
0.538921,TRUE,FALSE
0.548241,TRUE,FALSE
0.557621,TRUE,FALSE
0.566881,TRUE,FALSE
0.576141,TRUE,FALSE
0.585461,TRUE,FALSE
0.594661,TRUE,FALSE
0.603921,TRUE,FALSE
0.613241,TRUE,FALSE
0.622621,TRUE,FALSE
0.631881,TRUE,FALSE
0.641141,TRUE,FALSE
0.650461,TRUE,FALSE
0.659661,TRUE,FALSE
0.668921,TRUE,FALSE
0.678241,TRUE,FALSE
0.687621,TRUE,FALSE
0.696881,TRUE,FALSE
0.706141,TRUE,FALSE
0.715461,TRUE,FALSE
0.724661,TRUE,FALSE
0.733921,TRUE,FALSE
0.743241,TRUE,FALSE
0.752621,TRUE,FALSE
0.761881,TRUE,FALSE
0.771141,TRUE,FALSE
0.780461,TRUE,FALSE
0.789721,TRUE,FALSE
0.799041,TRUE,FALSE
0.808421,TRUE,FALSE
0.817681,TRUE,FALSE
0.826941,TRUE,FALSE
0.836261,TRUE,FALSE
0.845471,TRUE,FALSE
0.854731,TRUE,FALSE
0.864051,TRUE,FALSE
0.873431,TRUE,FALSE
0.882691,TRUE,FALSE
0.891951,TRUE,FALSE
0.901271,TRUE,FALSE
0.910651,TRUE,FALSE
0.919911,TRUE,FALSE
0.929171,TRUE,FALSE
0.938491,TRUE,FALSE
0.947751,TRUE,FALSE
0.957071,TRUE,FALSE
0.966391,TRUE,FALSE
0.975711,TRUE,FALSE
0.985031,TRUE,FALSE
0.994411,TRUE,FALSE
1.003671,TRUE,FALSE
1.012931,TRUE,FALSE
1.022251,TRUE,FALSE
1.031461,TRUE,FALSE
1.040661,TRUE,FALSE
1.049921,TRUE,FALSE
1.059241,TRUE,FALSE
1.068621,TRUE,FALSE
1.077881,TRUE,FALSE
1.087141,TRUE,FALSE
